timestamp,id,title,bundle_id,content_type
2023-03-21T00:45:13.155Z,0348a4d3fdf1161778af2201b5045e70,15-minute full-body release,workouts,video
2023-03-21T00:46:45.278Z,08de39052a0959b7d0f96ee2ac7e7240,Find your fit in 10 minutes,workouts,video
2023-03-21T00:44:21.937Z,15d0b4b02f473fe722f411906e4cf178,15-minute full-body stretch,workouts,video
2023-03-21T00:44:33.013Z,185447bb130238f9e244c43f2cbedc3d,Flexible back yoga flow,workouts,video
2023-03-21T00:44:58.751Z,1ce785dfb856b56a233f7c178c72b85e,Yoga for upper back pain,workouts,video
2023-03-21T00:45:35.521Z,4108ba541f0fa2e322d770919907eab8,Energizing yoga,workouts,video
2023-03-21T00:44:14.84Z,5eba791aca6b61623b2de7fcf3d2062d,Standing yoga series to work your legs,workouts,video
2023-03-21T00:45:27.366Z,5fdb29fcf06b05ce4a0c642801afb679,Good night yoga,workouts,video
2023-03-21T00:44:24.931Z,740efa8e5557c9ad2d351012853d10b3,15-minute beginner yoga flow with Denise,workouts,video
2023-03-21T00:44:04.104Z,75a546fc06dfd7a599f70c582bbb4441,Yoga flow for tight shoulders,workouts,video
2023-03-21T00:46:10.807Z,84303156fae3adc3629c458fa55150f3,Yoga for low back pain,workouts,video
2023-03-21T00:46:08.245Z,8edc2908abb2cca50c62118232fde6a4,Feel good yoga flow,workouts,video
2023-03-21T00:45:37.445Z,99fbd7f4e8d370a5b224757bab8b5a97,De-stress with restorative yoga,workouts,video
2023-03-21T00:46:03.129Z,c1b668834a4526d65c14ab5977f3ca61,Yoga to ease shoulder & neck pain ,workouts,video
2023-03-21T00:43:38.548Z,c7d8ba79f9e862bde465acb3184b8d4c,30-minute yoga flow: body reset,workouts,video
2022-07-31T18:27:51.383Z,d4e2bb9731a18f4f9f2e803705e3db01,20-minute mobility & stability recovery session,workouts,video
2023-03-21T00:43:23.72Z,eb5cf4ce758a31991a54e0e1dbc5f09a,Yoga for upper body strength,workouts,video
2023-03-21T00:43:17.455Z,f99f8beb76fe1b324422f7c692d27fdd,Yoga for strength & flexibility,workouts,video
2022-07-31T18:26:14.976Z,1d5568d6a66d68a18b902c49fdfe6336,2-minute stress reliever,mindfulness,audio
2022-07-31T18:26:20.899Z,5b8b9955a07263be1bc603effffc4869,Human being not human doing,mindfulness,audio
2022-07-31T18:26:24.272Z,7c04c0257808e74a68e3143a85c4534b,Relax from head to toe,mindfulness,audio
2022-07-31T18:26:36.352Z,9b9f9a8dcd2e2f1d14e1749572b1d81f,De-stress at your desk,mindfulness,audio
2022-07-31T18:26:09.441Z,cbf931dbe6ff8125e291646f5860e361,"Breathe, relax & drift off to sleep",mindfulness,audio
2022-07-31T18:26:16.669Z,fa7efed7e44bdb52354b4437a7c65a42,Drift off to sleep,mindfulness,audio
